Review No,Title
A001,Acellular vaccines for preventing whooping cough in children
A145,Acetaminophen (paracetamol) for the common cold in adults
A002,Acetylcysteine and carbocysteine for acute upper and lower respiratory tract infections in paediatric patients without chronic broncho-pulmonary disease
A147,Acupuncture for mumps in children
A003,Acyclovir for treating varicella in otherwise healthy children and adolescents
A093,Advising patients to increase fluid intake for treating acute respiratory infections
A006,Amantadine and rimantadine for influenza A in adults
A005,Amantadine and rimantadine for influenza A in children and the elderly
A101,Antibiotic prophylaxis for preventing meningitis in patients with basilar skull fractures
A016,Antibiotic prophylaxis to reduce respiratory tract infections and mortality in adults receiving intensive care
A180,Antibiotic therapy versus no antibiotic therapy for children aged two to 59 months with WHO-defined non-severe pneumonia and wheeze
A007,Antibiotics for acute bronchitis
A008,Antibiotics for acute laryngitis in adults
A009,Antibiotics for acute maxillary sinusitis in adults
A010,Antibiotics for acute otitis media in children
A103,Antibiotics for bronchiolitis in children
A111,Antibiotics for clinically diagnosed acute rhinosinusitis in adults
A071,Antibiotics for community-acquired lower respiratory tract infections secondary to Mycoplasma pneumoniae in children
A012,Antibiotics for community-acquired pneumonia in adult outpatients
A069,Antibiotics for community-acquired pneumonia in children
A015,Antibiotics for preventing complications in children with measles
A099,Antibiotics for preventing meningococcal infections
A152,Antibiotics for preventing suppurative complications from undifferentiated acute respiratory infections in children under five years of age
A017,Antibiotics for sore throat
A018,Antibiotics for the common cold and acute purulent rhinitis
A074,Antibiotics for the prevention of acute and chronic suppurative otitis media in children
A076,Antibiotics for ventilator-associated pneumonia
A075,Antibiotics for whooping cough (pertussis)
A019,Anti-cytokine and anti-endotoxin therapies for meningococcal disease
A020,Antihistamines for the common cold
A154,Antiviral prophylaxis for varicella zoster in immunocompromised patients (excluding haematological malignancies)
A022,Azithromycin for acute lower respiratory tract infections
A023,Beta2-agonists for acute bronchitis
A182,Biomarkers as point-of-care tests to guide prescription of antibiotics in patients with acute respiratory infections in primary care
A024,Bronchodilators for bronchiolitis
A100,Chest physiotherapy for acute bronchiolitis in paediatric patients between 0 and 24 months old
A123,Chest physiotherapy for pneumonia in adults
A185,Chest physiotherapy for pneumonia in children
A025,Chest radiographs for acute lower respiratory tract infections
A092,Chinese herbs combined with Western medicine for severe acute respiratory syndrome (SARS)
A083,Chinese medicinal herbs for acute bronchitis
A085,Chinese medicinal herbs for influenza
A104,Chinese medicinal herbs for measles
A170,Chinese medicinal herbs for mumps
A084,Chinese medicinal herbs for sore throat
A082,Chinese medicinal herbs for the common cold
A169,Clinical symptoms and signs for the diagnosis of Mycoplasma pneumoniae in children and adolescents with community-acquired pneumonia
A146,"Combined DTP-HBV vaccine versus separately administered DTP and HBV vaccines for primary prevention of diphtheria, tetanus, pertussis, and hepatitis B"
A106,"Combined DTP-HBV-HIB vaccine versus separately administered DTP-HBV and HIB vaccines for primary prevention of diphtheria, tetanus, pertussis, hepatitis B and Haemophilus influenzae B (HIB)"
A026,Conjugate vaccines for preventing Haemophilus influenzae type b infections in children under 5 years of age
A028,Continuous negative extrathoracic pressure or continuous positive airway pressure compared to conventional ventilation for acute hypoxaemic respiratory failure in children
A188,Continuous positive airway pressure (CPAP) for acute bronchiolitis in children
A183,Corticosteroids as adjunctive therapy in the treatment of influenza
A160,Corticosteroids as standalone or add-on treatment for sore throat
A029,Corticosteroids for acute bacterial meningitis
A175,Corticosteroids for parasitic eosinophilic meningitis
A158,Corticosteroids for pneumonia
A162,Corticosteroids for the common cold
A157,"Decongestants, antihistamines and nasal irrigation for acute sinusitis in children"
A086,Delayed antibiotics for respiratory infections
A013,Different antibiotic treatments for group A streptococcal pharyngitis
A032,Echinacea for preventing and treating the common cold
A090,Empiric antibiotic coverage of atypical pathogens for community-acquired pneumonia in hospitalized adults
A033,Epinephrine for bronchiolitis
A194,Exercise for acute respiratory infections
A004,Fluid therapy for acute bacterial meningitis
A034,Garlic for the common cold
A036,Glucocorticoids for acute viral bronchiolitis in infants and young children
A035,Glucocorticoids for croup
A078,Granulocyte-Colony Stimulating Factor (G-CSF) as an adjunct to antibiotics in the treatment of pneumonia in adults
A037,Haemophilus influenzae oral vaccination for preventing acute exacerbations of chronic bronchitis and chronic obstructive pulmonary disease
A038,"Heated, humidified air for the common cold"
A142,Heliox for croup in children
A140,Heliox inhalation therapy for bronchiolitis in infants
A178,High-flow nasal cannula therapy for infants with bronchiolitis
A039,Homeopathic Oscillococcinum® for preventing and treating influenza and influenza-like illness
A114,Homeopathic remedies for preventing and treating acute respiratory tract infections in children
A138,Honey for acute cough in children
A042,Immunoglobulin treatment for respiratory syncytial virus infection
A043,Immunostimulants for preventing respiratory tract infection in children
A108,Influenza vaccination for healthcare workers who care for people aged 60 or older living in long-term care institutions
